MCMCU;MCSTYL;MCDL01;MCRP01;MCRP02
00027903;16;ACF BAUHAUS;74;OPE
00027905;16;ACF CASTELO;74;OPE
00027613;09;AC COLINA;74;OPE
00027614;09;AC IBITINGA;74;OPE
00027615;09;AC ITAPOLIS;74;OPE
00027616;09;AC JABOTICABAL;74;OPE
00052617;09;ACC I RODRIGUES ALVES;26;OPE
00060659;09;AC BOM JESUS DO AMPARO;20;OPE
00060672;09;AC SANTA RITA DE MINAS;20;OPE
00060673;09;AC MARQUES DE SAPUCAI;20;OPE
00060674;09;AC S SEBAS DA VARGEM ALEGRE;20;OPE
00027908;16;ACF REDENTOR;74;OPE
00027900;16;ACF ANHANGUERA;74;OPE
00027893;16;ACF TERMINAL RODOV DE ASSIS;74;OPE
00059337;09;AC BOM JESUS DO ARAGUAIA;24;OPE
00060610;09;AC PIPA;60;OPE
00028009;16;ACF CILLOS;74;OPE
00027992;16;ACF TERMINAL RODOV DE OURINHOS;74;OPE
00027993;16;ACF RODOVIARIA AMERICANA;74;OPE
00052609;09;ACC I CAPIXABA;26;OPE
00060320;09;AC AGUA SANTA;64;OPE
00059825;09;AC PORTO DO MANGUE;60;OPE
00060625;09;AC CAPITAO ANDRADE;20;OPE
00060262;09;AC RENASCENCA;34;OPE
00059638;09;AC SOLEMAR;72;OPE
00028057;16;ACF CATORZE DE JULHO;74;OPE
00028059;16;ACF CAFEZAL;74;OPE
00055807;09;AC CORDISLANDIA;20;OPE
00056999;09;AC COCAL DOS ALVES;34;OPE
00057037;09;AC PATOS DO PIAUI;34;OPE
00056786;09;AC SAO JOSE DO DIVINO;34;OPE
00060655;09;AC PLAZA AVENIDA SHOPPING;74;OPE
00060269;09;AC LUISLANDIA;20;OPE
00060271;09;AC SAO JOAO DA LAGOA;20;OPE
00060624;09;AC TAQUARIVAI;74;OPE
00060626;09;AC GUAVIRAIS;22;OPE
00060121;09;AC CRUZEIRO DA FORTALEZA;20;OPE
00059962;09;AC RESERVA DO IGUACU;36;OPE
00028084;16;ACF BENTO MONTEIRO;74;OPE
00028041;16;ACF PIRACICAMIRIM;74;OPE
00028044;16;ACF JARDIM URANO;74;OPE
00027617;09;AC NOVO HORIZONTE;74;OPE
00027618;09;AC IBATE;74;OPE
00027499;09;AC PALESTINA;74;OPE
00027996;16;ACF AMANDO DE BARROS;74;OPE
00027597;09;AC RIFAINA;74;OPE
00027598;09;AC SALES OLIVEIRA;74;OPE
00027429;09;AC IEPE;74;OPE
00027420;09;AC ALFREDO MARCONDES;74;OPE
00027411;09;AC PAULICEIA;74;OPE
00027412;09;AC PIACATU;74;OPE
00028085;16;ACF ESPORTE;74;OPE
00028086;16;ACF SAO BENEDITO;74;OPE
00028087;16;ACF BOA VISTA;74;OPE
00028088;16;ACF VILA PRADO;74;OPE
00028089;16;ACF TRES AVENIDAS;74;OPE
00028080;16;ACF PEROLA;74;OPE
00028061;16;ACF BONFIM;74;OPE
00028062;16;ACF ADY ANA;74;OPE
00028063;16;ACF RUI BARBOSA;74;OPE
00027490;09;AC GUZOLANDIA;74;OPE
00027481;09;AC JALES;74;OPE
00027482;09;AC JOSE BONIFACIO;74;OPE
00027313;09;AC AVANHANDAVA;74;OPE
00027314;09;AC PIRAJUI;74;OPE
00027315;09;AC PIRATININGA;74;OPE
00027316;09;AC BALBINOS;74;OPE
00060660;09;AC DIVISOPOLIS;20;OPE
00060633;09;AC JUMIRIM;74;OPE
00028003;16;ACF CERRADO;74;OPE
00027897;16;ACF CARLOS SOLDI;74;OPE
00027623;09;AC MATAO;74;OPE
00027624;09;AC MONTE ALTO;74;OPE
00027625;09;AC MONTE AZUL PAULISTA;74;OPE
00055925;09;AC CASTELAO;12;OPE
00027626;09;AC PIRANGI;74;OPE
00060319;09;AC CENTRO DO GUILHERME;18;OPE
00060326;09;AC PARECI NOVO;64;OPE
00060369;09;AC MARANHAOZINHO;18;OPE
00059693;09;AC OCA;03;OPE
00027987;16;ACF FURQUIM;74;OPE
00060252;09;AC CRUZMALTINA;36;OPE
00060261;09;AC CENTRAL DO BRASIL;50;OPE
00060603;09;AC ASSEMBLEIA LEGISLATIVA;16;OPE
00060327;09;AC CARAA;64;OPE
00025212;09;AC CONVENIENCIA OSASCO;72;OPE
00057023;09;AC AROEIRAS DO ITAIM;34;OPE
00058130;09;ACC I OESTE PAULISTA;74;OPE
00059148;09;AC FORUM CLOVIS BEVILAQUA;12;OPE
00059187;09;AC MARECHAL RONDON;24;OPE
00058271;09;AC PORTO ACRE;03;OPE
00060669;09;AC SAO JOSE DO DIVINO;20;OPE
00060670;09;AC S SEBASTIAO DO MARANHAO;20;OPE
00060671;09;AC UNIAO DE MINAS;20;OPE
00060675;09;AC BAIRRO BOM JARDIM;20;OPE
00060662;09;AC FREI LAGO NEGRO;20;OPE
00424875;09;AC RUA 24 HORAS;36;OPE
00061736;09;AC SANTA TEREZA;64;OPE
00027932;16;ACF JARDIM AMERICA;74;OPE
00027936;16;ACF ALEM LINHA;74;OPE
00027937;16;ACF ESTACAO DA PAULISTA;74;OPE
00060695;09;AC CAIAPO;22;OPE
00061731;09;AC SAO VALENTIM DO SUL;64;OPE
00058172;09;AC POSSE NOVA IGUACU;50;OPE
00058268;09;AC CAPIXABA;03;OPE
00058275;09;AC CHICO MENDES;03;OPE
00058269;09;AC EPITACIOLANDIA;03;OPE
00028101;16;ACF SANTA LUZIA;74;OPE
00028102;16;ACF SAO JUDAS TADEU;74;OPE
00028103;16;ACF VILA REZENDE;74;OPE
00028104;16;ACF CONFIANCA;74;OPE
00028106;16;ACF SANTA TEREZINHA;74;OPE
00028077;16;ACF ALVORADA;74;OPE
00028078;16;ACF NOSSA SENHORA APARECIDA;74;OPE
00027289;09;AC PARDINHO;74;OPE
00027280;09;AC MANDURI;74;OPE
00060737;09;AC BAIRRO BAUXITA;20;OPE
00060724;09;AC SAO DOMINGOS DAS DORES;20;OPE
00060726;09;AC SANTA BARBARA DO LESTE;20;OPE
00060738;09;AC MONTE VERDE;20;OPE
00050433;09;AC PORTO DE GALINHAS;32;OPE
00058126;09;AC JARDIM AMANDA;74;OPE
00059810;09;AC BRASILANDIA DO SUL;36;OPE
00059781;09;AC NOVA PORTEIRINHA;20;OPE
00059090;09;AC CANOA QUEBRADA;12;OPE
00028079;16;ACF CIDADE DAS ROSAS;74;OPE
00028070;16;ACF ESTACAO;74;OPE
00028035;16;ACF CIDADE JARDIM;74;OPE
00028036;16;ACF PONTE SAO JOAO;74;OPE
00028039;16;ACF MARCILIO DIAS;74;OPE
00027271;09;AC CAMPOS NOVOS PAULISTA;74;OPE
00027272;09;AC BASTOS;74;OPE
00027958;16;ACF KEKO;74;OPE
00052435;09;AC BELA VISTA DO PIAUI;34;OPE
00052442;09;AC SAO JOAO DO ARRAIAL;34;OPE
00052261;09;AC NOVA COLINAS;18;OPE
00051842;09;AC SANTO ANTONIO DO GRAMA;20;OPE
00052499;09;AC SAO GERALDO DA PIEDADE;20;OPE
00027659;09;AC MESOPOLIS;74;OPE
00027650;09;AC POTIM;74;OPE
00027641;09;AC ESPIRITO SANTO DO TURVO;74;OPE
00027642;09;AC EMBAUBA;74;OPE
00027423;09;AC CAIABU;74;OPE
00027472;09;AC GASTAO VIDIGAL;74;OPE
00027503;09;AC MAGDA;74;OPE
00027504;09;AC MARINOPOLIS;74;OPE
00027505;09;AC MERIDIANO;74;OPE
00027506;09;AC PEREIRA BARRETO;74;OPE
00027274;09;AC CORONEL MACEDO;74;OPE
00027275;09;AC FARTURA;74;OPE
00027276;09;AC BIRIGUI;74;OPE
00027277;09;AC IBIRAREMA;74;OPE
00027424;09;AC CAIUA;74;OPE
00027425;09;AC CRUZALIA;74;OPE
00027426;09;AC ECHAPORA;74;OPE
00027427;09;AC ESTRELA DO NORTE;74;OPE
00027428;09;AC FLORINIA;74;OPE
00027137;09;AC INDAIATUBA;74;OPE
00027138;09;AC ITUPEVA;74;OPE
00027109;09;AC NATIVIDADE DA SERRA;74;OPE
00027100;09;AC CRUZEIRO;74;OPE
00027098;09;AC CAMPOS DO JORDAO;74;OPE
00027143;09;AC LOUVEIRA;74;OPE
00027144;09;AC MOMBUCA;74;OPE
00027448;09;AC PRIMAVERA;74;OPE
00027279;09;AC CAFELANDIA;74;OPE
00027270;09;AC ARACATUBA;74;OPE
00027278;09;AC ITAI;74;OPE
00027343;09;AC MACATUBA;74;OPE
00027649;09;AC ASPASIA;74;OPE
00027640;09;AC DIRCE REIS;74;OPE
00027631;09;AC ITAPIRAPUA PAULISTA;74;OPE
00027091;09;AC ATIBAIA;74;OPE
00027092;09;AC BANANAL;74;OPE
00027085;09;AC DISTRITO IND DE BAURU;74;OPE
00027086;09;AC ARCO IRIS;74;OPE
00027087;09;AC CIDADE HORTOLANDIA;74;OPE
00027088;09;AC AMERICANA;74;OPE
00027557;09;AC PINDORAMA;74;OPE
00027558;09;AC IBITIUVA;74;OPE
00027529;09;AC VALENTIM GENTIL;74;OPE
00027261;09;AC PORTO FERREIRA;74;OPE
00027262;09;AC CENTRAL DE BAURU;74;OPE
00027533;09;AC CATIGUA;74;OPE
00027534;09;AC INDIAPORA;74;OPE
00027535;09;AC ICEM;74;OPE
00027536;09;AC RIBEIRAO PRETO;74;OPE
00027632;09;AC SANTO ANTONIO DO ARACANGUA;74;OPE
00027383;09;AC PRESIDENTE VENCESLAU;74;OPE
00027384;09;AC QUATA;74;OPE
00027385;09;AC RANCHARIA;74;OPE
00027386;09;AC REGENTE FEIJO;74;OPE
00027387;09;AC SANTO ANASTACIO;74;OPE
00027388;09;AC LAVINIA;74;OPE
00027520;09;AC SAO JOAO DAS DUAS PONTES;74;OPE
00027511;09;AC POTIRENDABA;74;OPE
00027512;09;AC ILHA SOLTEIRA;74;OPE
00027443;09;AC TEODORO SAMPAIO;74;OPE
00027444;09;AC ROSANA;74;OPE
00027445;09;AC EUCLIDES DA CUNHA PAULISTA;74;OPE
00027446;09;AC LUTECIA;74;OPE
00027431;09;AC JOAO RAMALHO;74;OPE
00027432;09;AC MARABA PAULISTA;74;OPE
00027409;09;AC OURO VERDE;74;OPE
00027400;09;AC RUBIAO JUNIOR;74;OPE
00027391;09;AC BOTUCATU;74;OPE
00027392;09;AC CERQUEIRA CESAR;74;OPE
00027299;09;AC TAGUAI;74;OPE
00027290;09;AC PEREIRAS;74;OPE
00026611;16;ACF JARDIM ELIANE;72;OPE
00026613;16;ACF JORDANESIA;72;OPE
00027527;09;AC UCHOA;74;OPE
00027433;09;AC MARACAI;74;OPE
00027319;09;AC BARRA BONITA;74;OPE
00027281;09;AC OLEO;74;OPE
00027282;09;AC DUARTINA;74;OPE
00027463;09;AC CARDOSO;74;OPE
00027464;09;AC CEDRAL;74;OPE
00027465;09;AC COSMORAMA;74;OPE
00027466;09;AC MONCOES;74;OPE
00027467;09;AC NOVA LUZITANIA;74;OPE
00027468;09;AC ESTRELA DOESTE;74;OPE
00027145;09;AC MONTE ALEGRE DO SUL;74;OPE
00027528;09;AC URANIA;74;OPE
00027513;09;AC RUBINEIA;74;OPE
00027514;09;AC SANTA ALBERTINA;74;OPE
00027515;09;AC SANTA CLARA DOESTE;74;OPE
00027516;09;AC SANTANA DA PONTE PENSA;74;OPE
00027310;09;AC PEDERNEIRAS;74;OPE
00027301;09;AC TAQUARITUBA;74;OPE
00027302;09;AC MIRANDOPOLIS;74;OPE
00027493;09;AC NHANDEARA;74;OPE
00027494;09;AC NOVA ALIANCA;74;OPE
00027495;09;AC ITAPURA;74;OPE
00027496;09;AC NOVA GRANADA;74;OPE
00027497;09;AC MACAUBAL;74;OPE
00027498;09;AC OLIMPIA;74;OPE
00027146;09;AC MONTE MOR;74;OPE
00027147;09;AC MORUNGABA;74;OPE
00027148;09;AC NAZARE PAULISTA;74;OPE
00026011;16;ACF FLORES;72;OPE
00027507;09;AC MIRA ESTRELA;74;OPE
00027508;09;AC PARANAPUA;74;OPE
00027459;09;AC CAJOBI;74;OPE
00027450;09;AC ALTAIR;74;OPE
00027441;09;AC TACIBA;74;OPE
00027442;09;AC TARABAI;74;OPE
00027159;09;AC ITU;74;OPE
00027150;09;AC PAULINIA;74;OPE
00027141;09;AC JOANOPOLIS;74;OPE
00027142;09;AC VILA ARENS;74;OPE
00027103;09;AC ILHABELA;74;OPE
00027104;09;AC JAMBEIRO;74;OPE
00027105;09;AC LAGOINHA;74;OPE
00027106;09;AC LAVRINHAS;74;OPE
00027107;09;AC MONTEIRO LOBATO;74;OPE
00027537;09;AC ARARAQUARA;74;OPE
00027538;09;AC ARIRANHA;74;OPE
00027599;09;AC SANTO ANTONIO DA ALEGRIA;74;OPE
00027590;09;AC PRADOPOLIS;74;OPE
00027581;09;AC PONTAL;74;OPE
00027582;09;AC IPUA;74;OPE
00027523;09;AC TABAPUA;74;OPE
00027524;09;AC TANABI;74;OPE
00027525;09;AC TURMALINA;74;OPE
00027344;09;AC PANORAMA;74;OPE
00027345;09;AC MINEIROS DO TIETE;74;OPE
00027346;09;AC OCAUCU;74;OPE
00027347;09;AC ORIENTE;74;OPE
00027348;09;AC PONGAI;74;OPE
00027108;09;AC PIQUETE;74;OPE
00027567;09;AC TAIUVA;74;OPE
00027568;09;AC TERRA ROXA;74;OPE
00027539;09;AC BOA ESPERANCA DO SUL;74;OPE
00027530;09;AC VOTUPORANGA;74;OPE
00027521;09;AC SEVERINIA;74;OPE
00027522;09;AC SUD MENUCCI;74;OPE
00027553;09;AC NOVA EUROPA;74;OPE
00027554;09;AC PALMARES PAULISTA;74;OPE
00027526;09;AC TRES FRONTEIRAS;74;OPE
00027349;09;AC QUEIROZ;74;OPE
00027340;09;AC LUCIANOPOLIS;74;OPE
00027331;09;AC GUARANTA;74;OPE
00027583;09;AC ITIRAPUA;74;OPE
00027584;09;AC JERIQUARA;74;OPE
00027585;09;AC LUIS ANTONIO;74;OPE
00027586;09;AC MORRO AGUDO;74;OPE
00027394;09;AC IPAUSSU;74;OPE
00027395;09;AC ITATINGA;74;OPE
00027396;09;AC LARANJAL PAULISTA;74;OPE
00027397;09;AC LENCOIS PAULISTA;74;OPE
00027398;09;AC OURINHOS;74;OPE
00027555;09;AC PARAISO;74;OPE
00027556;09;AC GUAIRA;74;OPE
00027434;09;AC NARANDIBA;74;OPE
00027435;09;AC OSCAR BRESSANE;74;OPE
00027436;09;AC PIQUEROBI;74;OPE
00027437;09;AC PIRAPOZINHO;74;OPE
00027438;09;AC PLATINA;74;OPE
00027359;09;AC JAU;74;OPE
00027350;09;AC REGINOPOLIS;74;OPE
00027332;09;AC IRAPURU;74;OPE
00027273;09;AC CONCHAS;74;OPE
00027369;09;AC COROADOS;74;OPE
00027360;09;AC URU;74;OPE
00027351;09;AC SABINO;74;OPE
00027352;09;AC SANTA MARIA DA SERRA;74;OPE
00027303;09;AC TEJUPA;74;OPE
00027304;09;AC TIMBURI;74;OPE
00027305;09;AC OSVALDO CRUZ;74;OPE
00027393;09;AC CHAVANTES;74;OPE
00027661;09;AC LOURDES;74;OPE
00027662;09;AC ARACARIGUAMA;74;OPE
00027283;09;AC DRACENA;74;OPE
00027284;09;AC FLORIDA PAULISTA;74;OPE
00027285;09;AC GALIA;74;OPE
00027286;09;AC GARCA;74;OPE
00027341;09;AC LUISIANIA;74;OPE
00027342;09;AC LUPERCIO;74;OPE
00027399;09;AC PIRAJU;74;OPE
00027390;09;AC BERNARDINO DE CAMPOS;74;OPE
00027381;09;AC PRESIDENTE EPITACIO;74;OPE
00027382;09;AC PRESIDENTE PRUDENTE;74;OPE
00027573;09;AC BURITIZAL;74;OPE
00027574;09;AC CASSIA DOS COQUEIROS;74;OPE
00027306;09;AC ALTO ALEGRE;74;OPE
00027307;09;AC ALVARO DE CARVALHO;74;OPE
00027308;09;AC ALVINLANDIA;74;OPE
00026615;16;ACF JOAQUIM FLORIANO;72;OPE
00026617;16;ACF JARDIM CLIMAX;72;OPE
00026618;16;ACF VERGUEIRO;72;OPE
00026619;16;ACF ROSARIO;72;OPE
00027333;09;AC IACANGA;74;OPE
00027660;09;AC NOVA CAMPINA;74;OPE
00027651;09;AC ITAOCA;74;OPE
00027652;09;AC ESTIVA GERBI;74;OPE
00027643;09;AC PEDRINHAS PAULISTA;74;OPE
00027575;09;AC CRISTAIS PAULISTA;74;OPE
00027576;09;AC DUMONT;74;OPE
00027577;09;AC ORLANDIA;74;OPE
00027578;09;AC GUARA;74;OPE
00027093;09;AC BOITUVA;74;OPE
00027094;09;AC BRAGANCA PAULISTA;74;OPE
00027095;09;AC CACAPAVA;74;OPE
00027096;09;AC CACHOEIRA PAULISTA;74;OPE
00027097;09;AC CAMPINAS;74;OPE
00027517;09;AC SANTA RITA DOESTE;74;OPE
00027518;09;AC SANTA FE DO SUL;74;OPE
00027489;09;AC MONTE APRAZIVEL;74;OPE
00027480;09;AC SEBASTIANOPOLIS DO SUL;74;OPE
00027471;09;AC ORINDIUVA;74;OPE
00027287;09;AC GETULINA;74;OPE
00027288;09;AC PARANAPANEMA;74;OPE
00046109;27;ACC I RITA MARIA*;68;OPE
00057001;09;AC LAGOA ALEGRE;34;OPE
00056668;09;AC JATOBA DO PIAUI;34;OPE
00056996;09;AC BOQUEIRAO DO PIAUI;34;OPE
00056997;09;AC BRASILEIRA;34;OPE
00056455;09;ACC I JARDIM PIRATININGA;72;OPE
00060688;09;AC PLANALTO;22;OPE
00060720;09;AC CAMPO AZUL;20;OPE
00060680;09;AC TARILANDIA;26;OPE
00060736;09;AC IBIAI;20;OPE
00060739;09;AC CAIUA;22;OPE
00060711;09;AC INDEPENDENCIA;74;OPE
00060702;09;AC MATO GROSSO;22;OPE
00060687;09;AC IPEZAL;22;OPE
00060701;09;AC NOROESTE;22;OPE
00060663;09;AC ITUETA;20;OPE
00060666;09;AC ST BARBARA DO MONTE VERDE;20;OPE
00424876;09;AC CDD GAMA;10;OPE
00028853;25;ACC I SUZANO SHOPPING;72;OPE
00027967;16;ACF ESTORIL;74;OPE
00057011;09;AC SAO JOAO DA FRONTEIRA;34;OPE
00060321;09;AC MARIANA PIMENTEL;64;OPE
00060345;09;AC FEIRACENTER;12;OPE
00060667;09;AC SANTANA DO JACARE;20;OPE
00060681;09;AC AGRESTE;05;OPE
00060728;09;AC SAO JOSE DA SAFIRA;20;OPE
00060731;09;AC NOVORIZONTE;20;OPE
00060733;09;AC MONTEZUMA;20;OPE
00060734;09;AC PAI PEDRO;20;OPE
00060761;09;AC OSMAR CABRAL;24;OPE
00060719;09;AC GUARANI;22;OPE
00060696;09;AC ASSUNCAO;30;OPE
00060665;09;AC ORATORIOS;20;OPE
00028015;16;ACF NOVA ELDORADO;74;OPE
00027977;16;ACF QUINTINO II;74;OPE
00027978;16;ACF REDENTORA;74;OPE
00027884;16;ACF BONGIOVANI;74;OPE
00027886;16;ACF HIGIENOPOLIS;74;OPE
00060664;09;AC MARLIERIA;20;OPE
00060661;09;AC FRANCISCOPOLIS;20;OPE
00060735;09;AC SANTO ANTONIO DO RETIRO;20;OPE
00060721;09;AC GLAUCILANDIA;20;OPE
00060730;09;AC BERIZAL;20;OPE
00060732;09;AC GUARACIAMA;20;OPE
00028027;16;ACF GALERIA;74;OPE
00028029;16;ACF SATELITE;74;OPE
00028014;16;ACF VILA XAVIER;74;OPE
00046949;09;ACC I CABUCU;50;OPE
00047007;09;AC GENERAL CARNEIRO;20;OPE
00060718;09;AC CARLINDA;24;OPE
00060723;09;AC SAO JOAO DO PACUI;20;OPE
00060729;09;AC CONCEICAO DAS PEDRAS;20;OPE
00058670;09;AC PEQUIA;18;OPE
00058273;09;AC PORTO WALTER;03;OPE
00058361;09;AC CEILANDIA NORTE;10;OPE
00027975;16;ACF PRESIDENTE VARGAS;74;OPE
00027997;16;ACF ANA CLAUDINA;74;OPE
00058133;09;AC RIO PRETO CENTRO;74;OPE
00027309;09;AC AREALVA;74;OPE
00027300;09;AC MARILIA;74;OPE
00027291;09;AC PACAEMBU;74;OPE
00027292;09;AC RIBEIRAO DO SUL;74;OPE
00027483;09;AC TURIUBA;74;OPE
00027484;09;AC UNIAO PAULISTA;74;OPE
00027485;09;AC APARECIDA DOESTE;74;OPE
00027362;09;AC BENTO DE ABREU;74;OPE
00027453;09;AC BADY BASSITT;74;OPE
00027454;09;AC AURIFLAMA;74;OPE
00027455;09;AC POPULINA;74;OPE
00027456;09;AC BALSAMO;74;OPE
00027263;09;AC ADAMANTINA;74;OPE
00027264;09;AC ANHEMBI;74;OPE
00027265;09;AC AGUDOS;74;OPE
00027404;09;AC MARIAPOLIS;74;OPE
00027405;09;AC MONTE CASTELO;74;OPE
00027406;09;AC MURUTINGA DO SUL;74;OPE
00027407;09;AC NOVA GUATAPORANGA;74;OPE
00027408;09;AC NOVA INDEPENDENCIA;74;OPE
00027878;16;ACF STELLA;74;OPE
00027473;09;AC GENERAL SALGADO;74;OPE
00027474;09;AC GUAPIACU;74;OPE
00027469;09;AC FERNANDOPOLIS;74;OPE
00027460;09;AC JACI;74;OPE
00027451;09;AC ALVARES FLORENCE;74;OPE
00027452;09;AC AMERICO DE CAMPOS;74;OPE
00027139;09;AC JAGUARIUNA;74;OPE
00027130;09;AC UNICAMP;74;OPE
00027121;09;AC SAO SEBASTIAO;74;OPE
00027122;09;AC SILVEIRAS;74;OPE
00027129;09;AC AEROPORTO INTER VIRACOPOS;74;OPE
00027120;09;AC SAO LUIS DO PARAITINGA;74;OPE
00027367;09;AC CASTILHO;74;OPE
00027368;09;AC CLEMENTINA;74;OPE
00027569;09;AC ALTINOPOLIS;74;OPE
00027560;09;AC RINCAO;74;OPE
00027551;09;AC CRAVINHOS;74;OPE
00027552;09;AC FRANCA;74;OPE
00027543;09;AC CANDIDO RODRIGUES;74;OPE
00027544;09;AC COLOMBIA;74;OPE
00027545;09;AC CAJURU;74;OPE
00027546;09;AC DOBRADA;74;OPE
00027475;09;AC GUARACI;74;OPE
00027476;09;AC POLONI;74;OPE
00027477;09;AC PONTES GESTAL;74;OPE
00027478;09;AC IBIRA;74;OPE
00027339;09;AC JULIO MESQUITA;74;OPE
00027330;09;AC VERA CRUZ;74;OPE
00027321;09;AC PROMISSAO;74;OPE
00027322;09;AC BORACEIA;74;OPE
00027479;09;AC RIOLANDIA;74;OPE
00027470;09;AC ONDA VERDE;74;OPE
00027461;09;AC MENDONCA;74;OPE
00027462;09;AC MIRASSOLANDIA;74;OPE
00027111;09;AC MOREIRA CESAR;74;OPE
00027112;09;AC REDENCAO DA SERRA;74;OPE
00027119;09;AC GUARATINGUETA;74;OPE
00027110;09;AC PARAIBUNA;74;OPE
00027101;09;AC AREIAS;74;OPE
00027102;09;AC CARAGUATATUBA;74;OPE
00027149;09;AC NOVA ODESSA;74;OPE
00027140;09;AC JARINU;74;OPE
00027131;09;AC SOUSAS;74;OPE
00027297;09;AC SAO PEDRO DO TURVO;74;OPE
00027298;09;AC SARUTAIA;74;OPE
00027579;09;AC PEDREGULHO;74;OPE
00027570;09;AC ARAMINA;74;OPE
00027561;09;AC SALES;74;OPE
00027562;09;AC SANTA ERNESTINA;74;OPE
00027363;09;AC BILAC;74;OPE
00027364;09;AC ALVARES MACHADO;74;OPE
00027365;09;AC ASSIS;74;OPE
00027366;09;AC CANDIDO MOTA;74;OPE
